Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
34,"The Italian architect who built this fort, San Micheli, did not complete the job until I 559.",m,0,1,0,0
35,"The design for a New Town Hall for Wolverhampton was put out to competition and attracted nineteen competitors, including the local architect Bidlake.",u,0,0,1,0
36,"Senior landscape architect James Holyoak said: ""The Bournville ethos in the early 20th century broke the mould in making possible the kind of urban environment we take for granted today, establishing a key role for landscape architecture.",m,0,1,0,0
37,The teams work these out and present them under the supervision of an artist and an architect.,u,0,0,1,0
38,"Concern about the two option schemes is especially sensitive as the ICI chairman is Sir Ronald Hampel, architect of British industry''s latest guidelines on boardroom standards.",d,0,0,0,1
39,Assisting with these ideas were Sir Roger Newdigate and another architect – Thomas Prowse.,m,0,1,0,0
40,The two towers at the north entrance rose to 160 feet and their architect thought they would last a century.,u,0,0,1,0
41,"As rulers in Israel, they should have known these things and instructed the people in them, but they would not come, as did Nicodemus (John 3:1-2), to him who would teach them; and so, like Hiram (1 Kings 5), the architect of Solomon''s Temple, the Master was murdered by those who should have been his scholars and helpers.",u,0,0,1,0
42,"At the same time the Architect was ''runner-up'' for the national Ecclesiastical Architects'' & Surveyors'' Association''s King of Prussia Gold Medal . Completed westernmost choir vault, from below ''Phase 2'', the restoration of the remaining four of the five bays of the vault, took place during 2005-6, once again under the direction of the Church''s Architect, Mr Richard Andrews, but this time the contractor was Joslins , Stonemasons of Long Hanborough, Oxfordshire ( Contracts Manager , Mr Shaun Hester).",m,0,1,0,0
43,"The new world order Over the years, the role of the adjudicator has been transformed from an impartial first stage of problem-solving to the judicial last word on dispute resolution ""The 1998 model was asking the adjudicator to handle a job in the same way as the project''s architect or QS.",u,0,0,1,0
44,"The architect Daniel Serafimovski has drawn up a dossier citing an earlier scheme to modernise and adapt Southside by Rick Mather, with suggestions of his own for improving access and providing the ensuite bathrooms Imperial seeks – a great help for conference lets.",m,0,1,0,0
45,Looking at the world should be the concern of an architect because we are manipulating a tiny piece of the world.,u,0,0,1,0
46,"The SPAB established a fund to protect them and undertook a massive survey of every bridge in the country. 1927 ~ Thomas Hardy, novelist and architect dies.",m,0,1,0,0
47,"Designed by the foremost military architect of his day, Master James of St George, this was the first of Edward''s revolutionary ''concentric'' castles, modelled on the great fortifications of the Holy Land where Edward had been on crusade as a young man.",m,0,1,0,0
48,"Architect for the project is Fitzroy Robinson; engineer is ARUP, M&E engineer is Hoare Lea and Gleeds is quantity surveyor.",m,0,1,0,0
49,"The town has been the birthplace of many eminent people, including Adam Smith, the economist, and Robert Adam, the architect.",m,0,1,0,0
50,"The SOS Classic Response 2006 concert will also feature G4, Julian Lloyd Webber and the Royal Philharmonic Orchestra ... Regional screen agency EM Media has a new boss in former Artistic Director of the Edinburgh International Film Festival Lizzie Francke ... Controversial architect Will Alsop is in town next week for a discussion on urban design ... And it''s hoped that the seeds of another award-winning Nottingham in Bloom bid have been sown, by handing out £60,000 of wildflower seeds to local groups to take part in the competition, launched this week. 7th April 2006 Issue 51 NOTICE Nottingham is published by Nottingham City Council.",m,0,1,0,0
51,The architect was James Gibbs.,m,0,1,0,0
52,""" Others named are the Chair of Urban Splash Tom Bloxham; the Leader of Manchester City Council Richard Leese and the architect Lord Rogers.",m,0,1,0,0
53,I strongly urge you to get further independent advice from an architect or surveyor who properly understands older structures and how they work.,u,0,0,1,0
54,"In addition to winning the prestigious ""Best of the Best"" Award, (sponsored by Permasteelisa) Feilden Clegg Bradley also picked up three other trophies - for the Best Public Housing Architect of the year (sponsored by Housing Today magazine), for the Best Arts or Culture Building Architect of the year (sponsored by DuPont Corian) and Best Private Housing Architect of the year (sponsored by Lafarge).",m,0,1,0,0
55,The Architect asks does the sprinkler system have to be a life safety system or would the normal one be acceptable?,u,0,0,1,0
56,"(N.B. For books about the architect search under title keyword index, use the subject indexes, or try using the keywords anywhere option; for books written by the architect carry out your search using the name indexes).",u,0,0,1,0
