Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
92,"All rights reserved. http://www.engrish.com/detail.php?imagename=bike1.jpg&category=Cars&date=2002-12-04 Bicycle Design Bicycle Design blog The latest posts from my blog at http ... A very basic overview of bicycle technology BikeCAD A parametric CAD program for bicycle frame designers http://www.squidoo.com/bicycledesign/ Tiemeyer Cycles, Inc. :: Custom Bicycle Frame Builder ... builder of olympic and world championship winning bicycle ... Design features ensure more power is delivered to the pedals.",u,0,0,1,0
93,Try looking for a local builder or handy man in your local paper or newsagents.,m,0,1,0,0
94,The excellent and already proven coverage provided by the Airwave service at the time of the contract award was a major confidence builder for the Highways Agency.,d,0,0,0,1
95,"New homes all over the UK are featured on the Bryant homes site, take a look at www.bryant.co.uk Another ''new house'' builder is David Wilson Homes claiming that their homes feel bigger. www.dwh.co.uk Specializing in listed or unusual buildings or even a manor house is www.heritage.co.uk which caters for the more discerning.",u,0,0,1,0
96,Unsure as to whether the chassis would fit back onto the dolly when it was upside down I emailed a fellow builder and he confirmed that when he did his he just put it back on the dolly ( thanks CJ ).,m,0,1,0,0
97,"In 1835, a coach carrying princess Victoria (later Queen Victoria) and her mother, the Duchess of Kent, changed horses at the Crown; and Robin Winstanley, brother of Henry Winstanley the architect and builder of the first Eddystone lighthouse, while ''perambulating'' in 1667 from Littlebury to London, lodged for one night.",m,0,1,0,0
98,"The builder marked out a huge square on the ground, 100m by 100m.",u,0,0,1,0
99,"My builder, who does a lot of retail work, said it was well made and was impressed by the price.",u,0,0,1,0
100,"Famous Northumbrians include: Fred Reed, a dialect poet Basil Bunting, another poet Lord Grey, author of the Reform Bill Admiral Collingwood Lord Armstrong, present owner of Bamburgh Castle William Armstrong, industrialist and the builder of Cragside Areas include Note: some of these places are no longer in Northumberland Alnwick, Amble Bamburgh Bardon Mill Belford, Berwick-upon-Tweed, Brandon, Northumberland Chesters Chollerford Corbridge Craster Dalton, Hexham, Northumberland, Dalton, Ponteland, Northumberland Elsdon Embleton Falstone Greenhaugh Greenhead Haltwhistle, Hartley, Haydon Bridge Hexham Highfields, Horsley, Prudhoe, Northumberland, Horsley, Redesdale, Northumberland, Housesteads Ingram Langley, Linton, Longhorsley, Lowick, Lynemouth Mindrum, Morpeth, Murton Newcastle upon Tyne, Netherton Once Brewed Rothbury Seahouses Shipley, Northumberland, Stonehaugh Vindolanda",m,0,1,0,0
101,"We are the modular home builder of choice in California for all of your projects, with a focus on the custom Home Equity Loans Mortgages, mortgage calculator, mortgage rates, refinancing equity loans, mortgage, mortgage calculators, home loans, home equity loans.",u,0,0,1,0
102,"That establishes beyond doubt that ''building operations'' include: ""(a) demolition of buildings; (b) rebuilding; (c) structural alterations of or additions to buildings; and (d) other operations normally undertaken by a person carrying on businessas a builder.",u,0,0,1,0
103,The key thing is not to aim too high at the start - I wasn''t brilliant at first and spent years working as a builder.,u,0,0,1,0
104,Perhaps a gap in the market for ''power-designer'' spec pc builder??,d,0,0,0,1
105,"(including Report on the Pottery by Edwards, A J H) 193-213 Calder, Charles S T Three Fragments of a Sculptured Cross of Anglian Type now preserved in Abercorn Church, West Lothian. 217-23 Bisset, Lt Col J S The Edinburgh Touchplates: Some New Light on Their Origin and Purpose. 224-31 McLeod, Alexander G Excavation of Two Bronze Age Burial Sites in Ayrshire. 235-47 Simpson, W Douglas Tolquhon Castle and its Builder. 248-72 Birley, Eric Excavations at Birrens, 1936-37 (with contributions by Richmond, I A, Stanfield, J A and Hedley, W Percy). 275-347 Childe, Professor V Gordon Excavations carried out by H.M. Office of Works in the Bronze Age Levels at Jarlshof in 1937.",u,0,0,1,0
