Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
114,"Ólafsdóttir studied at The Reykjavík College of Music in her native Iceland under professor Ruth Magnússon, before moving to London, where she completed a Master of Music degree in 2001 and the Opera Course at the Guildhall School of Music & Drama in 2003, studying with professor Laura Sarti.",f,1,0,0,0
115,"Richard Harwell, a modern day college professor is teaching a course, ""Famous Crimes on Film"".",m,0,1,0,0
116,"The Journal is currently edited for the faculty of Westminster Theological Seminary by Dr. Vern Poythress , professor of New Testament interpretation.",m,0,1,0,0
117,"Among Coubertin''s forerunners from the nineteenth century we should certainly include Gustav Schartau, a Lund professor who in the mid-1830s organised at Ramlösa two sessions of short-lived ''Scandinavian Olympic Games''.",m,0,1,0,0
118,""" Hilary Rose is professor of social policy at Bradford University; Steven Rose is professor of biology at the Open University.",f,1,0,0,0
119,"[Reproduced by permission of the author] Dr Yamauchi, professor of history at Miami University in Oxford, Ohio, is chairman of the Institute for Biblical Research, the American counterpart of the Tyndale Fellowship for Biblical and Theological Research.",u,0,0,1,0
120,"Curiously enough the Alumni Professor of English at Florida State, James Twitchell, chimes in with two books on The Trashing of American Culture and another one published by Columbia University Press on Adcult . The Triumph of Advertising in American Culture . The Alumni professor comes across as a deviant pilgrim exulting in the Vanity Fair or as Pigpen with a Ph.D. who in a rash of cultural masochism confirms all the dire things the Germans and French have said about the commodified degeneracy of American culture with one interesting twist --- he approves of it.",m,0,1,0,0
121,"A team from Germany has now used this technique to make what amounts to microscopic soft-centred chocolates, with liquid aromas or liqueurs held inside shells of chocolate. â€ ̃Up to now, it has not been possible to incorporate liquid aromas in chocolate in such a way that the product could be further processed as a powder,â€TM says Eckhard Weidner, professor of process technology at the Institute of Thermo- and Fluid Dynamics at the Ruhr University of Bochum . Weidnerâ€TMs team first mix melted chocolate with the liquid aroma, while at the same time injecting high-pressure carbon dioxide into the mass.",m,0,1,0,0
122,"Francis Buttle, Littlewoods professor of customer relationship management, said, ""studies by Bain & Co have shown that a 5% improvement in CRM can increase profits by 95%.",m,0,1,0,0
123,"PAUL BOSELIE - author and assistant professor in HR studies, Tilburg University Boselie''s a top thinker in strategic HR management at the Netherlands university.",m,0,1,0,0
124,"Further provocation came from Jay Olshansky, professor of public health, University of Chicago, who argued that worsening health and obesity among the younger generations in the US may reverse the trend towards greater longevity, so raising the question of the future of longevity in the UK.",u,0,0,1,0
125,Also an honorary professor in the University of Warwick''s History Dept he has taught European history at Princeton in the US since 1968.,m,0,1,0,0
126,"Some years ago, an august, albeit early modernist, professor at the university at which I then was happily teaching responded to a discussion on how the Holocaust was to be incorporated within a department-produced video on the Second World War by wondering what the one had to do with the other.",u,0,0,1,0
127,"'' (This was a macabre prologue to the war, in the late eighties: a Serb cult of exhuming their World War II dead.) Then the professor suddenly comes to his senses.",m,0,1,0,0
128,""" And ""As administrator, professor, horticulturist, taxonomist, editor, journalist and botanical artist he used to the full his time, his abundant energy and his remarkable talents, with lasting beneficial results in many fields of botany and horticulture.",m,0,1,0,0
129,"(and if we don''t nobody else will), if the editors of the Daily Telegraph had read it, and particularly the bit about Brignell''s law of league tables and its corollaries, they would not have been so astonished as to plaster the front page with the headline Primary league tables ''failing pupils! . OK, for all those who are too mean to help out an ageing and penurious professor emeritus by buying his book, here is the law: All measures used as the basis of a league table always improve.",m,0,1,0,0
130,"Richard Hyman, professor at Warwick University''s Industrial Relations and Organisational Behaviour Group, speaking at the Unions 21 Creating Partnerships conference in November, said that unions must decide whether to continue supporting economic and monetary convergence if it became clear that their aim of social convergence would not be realised.",m,0,1,0,0
131,The participant would then be asked to rate the priority of each of the various things the professor is considering doing.,u,0,0,1,0
132,"Now 47, he is also a graduate of computational science from the University of Dundee . ""People might be surprised that a professor in computer ethics has a non-philosophical background and began his working life writing Fortran and Assembler programs,"" he says.",m,0,1,0,0
133,"Asked about getting people involved with politics, Leeds'' professor of political communications Stephen Coleman said: ""I don''t think there''s a lack of sincerity or genuine intention on the part of politicians.",m,0,1,0,0
134,He retains academic affiliation as a professor emeritus at the University of British Columbia.,m,0,1,0,0
135,Professor Berstein is also currently a part-time visiting professor at Glasgow University and editor-in-chief of Control Systems Magazine.,u,0,0,1,0
136,Professor of risk business doesn''t have web Aviation Insurance Resources site.,u,0,0,1,0
137,"So along with traditional art images one could just as easily discover a page documenting poses during a fit of hysteria for the Sociology Department, a poster for the film Willie Dynamite ordered by a Communication professor teaching a class on Blaxploitation films, or a series of falsified photographs documenting Stalin''s elimination of his rivals for the History Department.",u,0,0,1,0
138,"Includes SURBAN - the database on good practice in urban development Evolution of the shopping center NEW! - by Steve Schoenherr, professor of history at the University of San Diego, USA Forgotten NY - ""the infrastructure of a lost metropolis"".",m,0,1,0,0
139,"He has been visiting professor at the Centre for Defence Studies, King''s College London since 2000 and is the 2004 Wells Professor at Indiana University.",m,0,1,0,0
140,One past professor of economics even refused to use countries as an example because the point was so obvious.,u,0,0,1,0
141,"The research team, led by Patrick Schnable, professor of agronomy and director of the Center for Plant Genomics, includes Dan Nettleton, associate professor of statistics; and graduate students Ruth Swanson-Wagner, Yi Jia, Rhonda DeCook and Lisa Borsuk.",m,0,1,0,0
142,"Habit % change in risk Tomatoes -11.355 Jogging -11.354 Green vegetables -10.891 Aubergines -10.223 Olive oil -8.807 Insecticides +8.753 Passive smoking +10.883 Saturated fats +12.128 Alcohol +16.305 Smoking +16.456 Not bad, when you consider that there is no difference in the probabilities in the two populations ! Combining the last three observations, we can now announce to the women of the world that by giving up smoking, alcohol and saturated fats they can cut their risk of breast cancer by one third - a similar result to the good professor''s at a tiny fraction of the cost.",u,0,0,1,0
143,"So when his handsome boyfriend, a college professor named Dr. Joley (Tim Daly) hesitantly admits that their relationship is over, George accepts Nina''s generous invitation -- and the most important relationship of their lives begins.",m,0,1,0,0
144,"He is author of The Translator''s Turn , Translation and Taboo , What Is Translation? and Translation and Empire . A freelance translator of literary, scholarly, and technical texts between Finnish and English since 1975, he was formerly associate professor of Finnish English translation theory and practice at the University of Tampere, Finland, and is past president of the FinnishAmerican Translators Association Related Title Translation Theory in the Age of Louis XIV Contents and Other Information Western Translation Theory: Contents Item uploaded: Thursday, April 7, 2005 Last modified: Tuesday, May 24, 2005 Back Douglas Robinson ... has rendered a great service to all those interested in translation theory, both as a fundamentally linguistic construct and as a Western socio-cultural phenomenon.",m,0,1,0,0
145,Take away the requirement for 40 years of accumulated general knowledge or the linguistic ability of an Oxford professor and the age differences start to melt away like the legs on a barbecue fairy.,u,0,0,1,0
146,"A professor of regional economic development at Pittsburgh''s Carnegie Mellon University, he says the last thing regions need is big box retail developments and giant sports stadiums.",m,0,1,0,0
147,Had remedial treatment been given sooner the outcome could have been very different: in an internal note the professor himself referred to her death as avoidable.,m,0,1,0,0
148,"A self-proclaimed political theorist, she is a visiting professor from the John Carroll University in Cleveland and is here for the Fall semester with eleven students.",f,1,0,0,0
149,"Dr Jerome Engel Jr, professor of neurology at the David Geffen School of Medicine at UCLA and the principal investigator for ERSET: ""Data suggests that seizures can cause memory loss and affect a child''s ability to learn and pay attention in school.",m,0,1,0,0
150,"Tremblay, a researcher with the Human Genetics Department at Quebec City''s Centre Hospitalier Universitaire de Quebec (CHUQ) and professor with Universite Laval''s Faculty of Medicine, has taken an important step toward a cure for Duchenne muscular dystrophy.",u,0,0,1,0
151,"""Thus a Latin professor,"" writes Warner, ""might do better to learn how to prune fruit trees, line her car''s brakes or even solve difficult jigsaw puzzles than to write a scholarly essay parsing Cicero''s rhetoric.",f,1,0,0,0
152,"''Young man,'' the professor said, ''in history we need at least five proofs for any conclusion.",u,0,0,1,0
153,"Taj al-Din himself went to Cairo, where he took the place of his brother as professor of Shafi''ite law, and he also became preacher at the mosque al-Tuluni.",m,0,1,0,0
154,"Professor of Pharmacy Practice, Programme Leader PgCert/PgDip/MSc Clinical Pharmacy and CPD in Oncology Pharmacy Practice (by distance learning) Research Interests 1.",u,0,0,1,0
155,"professor of mathematics at Stanford University , executive director of the Centre for the Study of Language and Information , and executive director of Media X The nature of life, and the principle of evolution by natural selection The scientific idea that everyone should understand, above all others, is the nature of life, and the principle of evolution by natural selection . These are not two separate concepts - rather, they are two aspects of the same idea.",u,0,0,1,0
